アイドル名,声優名,事務所,事務所ユニット,作品名
天道輝,仲村宗悟,315プロ,,THE IDOLM@STER SideM
桜庭薫,内田雄馬,315プロ,,THE IDOLM@STER SideM
柏木翼,八代拓,315プロ,,THE IDOLM@STER SideM
天ヶ瀬冬馬,寺島拓篤,315プロ,,THE IDOLM@STER SideM
伊集院北斗,神原大地,315プロ,,THE IDOLM@STER SideM
御手洗翔太,松岡禎丞,315プロ,,THE IDOLM@STER SideM
鷹城恭二,梅原裕一郎,315プロ,,THE IDOLM@STER SideM
ピエール,堀江瞬,315プロ,,THE IDOLM@STER SideM
渡辺みのり,高塚智人,315プロ,,THE IDOLM@STER SideM
秋山隼人,千葉翔也,315プロ,,THE IDOLM@STER SideM
冬美旬,永塚拓馬,315プロ,,THE IDOLM@STER SideM
榊夏来,渡辺紘,315プロ,,THE IDOLM@STER SideM
若里春名,白井悠介,315プロ,,THE IDOLM@STER SideM
伊瀬谷四季,野上翔,315プロ,,THE IDOLM@STER SideM
蒼井悠介,菊池勇成,315プロ,,THE IDOLM@STER SideM
蒼井亨介,山谷祥生,315プロ,,THE IDOLM@STER SideM
硲道夫,伊東健人,315プロ,,THE IDOLM@STER SideM
舞田類,榎木淳弥,315プロ,,THE IDOLM@STER SideM
山下次郎,中島ヨシキ,315プロ,,THE IDOLM@STER SideM
猫柳キリオ,山下大輝,315プロ,,THE IDOLM@STER SideM
華村翔真,バレッタ裕,315プロ,,THE IDOLM@STER SideM
清澄九郎,中田祐矢,315プロ,,THE IDOLM@STER SideM
握野英雄,熊谷健太郎,315プロ,,THE IDOLM@STER SideM
木村龍,濱健人,315プロ,,THE IDOLM@STER SideM
信玄誠司,増元拓也,315プロ,,THE IDOLM@STER SideM
紅井朱雀,益山武明,315プロ,,THE IDOLM@STER SideM
黒野玄武,深町寿成,315プロ,,THE IDOLM@STER SideM
神谷幸広,狩野翔,315プロ,,THE IDOLM@STER SideM
東雲荘一郎,天崎滉平,315プロ,,THE IDOLM@STER SideM
アスラン=BBⅡ世,古川慎,315プロ,,THE IDOLM@STER SideM
卯月巻緒,児玉卓也,315プロ,,THE IDOLM@STER SideM
水嶋咲,小林大紀,315プロ,,THE IDOLM@STER SideM
神楽麗,永野由祐,315プロ,,THE IDOLM@STER SideM
都筑圭,土岐隼一,315プロ,,THE IDOLM@STER SideM
大河タケル,寺島惇太,315プロ,,THE IDOLM@STER SideM
牙崎漣,小松昌平,315プロ,,THE IDOLM@STER SideM
円城寺道流,濱野大輝,315プロ,,THE IDOLM@STER SideM
岡村直央,矢野奨吾,315プロ,,THE IDOLM@STER SideM
橘志狼,古畑恵介,315プロ,,THE IDOLM@STER SideM
姫野かのん,村瀬歩,315プロ,,THE IDOLM@STER SideM
秋月涼,三瓶由布子,315プロ,,THE IDOLM@STER SideM
兜大吾,浦尾岳大,315プロ,,THE IDOLM@STER SideM
九十九一希,徳武竜也,315プロ,,THE IDOLM@STER SideM
葛之葉雨彦,笠間淳,315プロ,,THE IDOLM@STER SideM
北村想楽,汐谷文康,315プロ,,THE IDOLM@STER SideM
古論クリス,駒田航,315プロ,,THE IDOLM@STER SideM
