アイドル名,声優名,事務所,事務所ユニット,作品名
天海春香,中村繪里子,765プロ,765PRO ALLSTARS,THE IDOLM@STER
如月千早,今井麻美,765プロ,765PRO ALLSTARS,THE IDOLM@STER
星井美希,長谷川明子,765プロ,765PRO ALLSTARS,THE IDOLM@STER
高槻やよい,仁後真耶子,765プロ,765PRO ALLSTARS,THE IDOLM@STER
水瀬伊織,釘宮理恵,765プロ,765PRO ALLSTARS,THE IDOLM@STER
三浦あずさ,たかはし智秋,765プロ,765PRO ALLSTARS,THE IDOLM@STER
双海亜美,下田麻美,765プロ,765PRO ALLSTARS,THE IDOLM@STER　
双海真美,下田麻美,765プロ,765PRO ALLSTARS,THE IDOLM@STER
菊地真,,平田宏美,765プロ,765PRO ALLSTARS,THE IDOLM@STER
我那覇響,沼倉愛美,765プロ,765PRO ALLSTARS,THE IDOLM@STER
秋月律子,若林直美,765プロ,765PRO ALLSTARS,THE IDOLM@STER
四条貴音,原由実,765プロ,765PRO ALLSTARS,THE IDOLM@STER
音無小鳥,滝田樹里,765プロ,765PRO ALLSTARS,THE IDOLM@STER
