アイドル名,声優名,事務所,事務所ユニット,作品名
天海春香,中村繪里子,765プロ,765PRO ALLSTARS,THE IDOLM@STER
如月千早,今井麻美,765プロ,765PRO ALLSTARS,THE IDOLM@STER
星井美希,長谷川明子,765プロ,765PRO ALLSTARS,THE IDOLM@STER
高槻やよい,仁後真耶子,765プロ,765PRO ALLSTARS,THE IDOLM@STER
水瀬伊織,釘宮理恵,765プロ,765PRO ALLSTARS,THE IDOLM@STER
三浦あずさ,たかはし智秋,765プロ,765PRO ALLSTARS,THE IDOLM@STER
双海亜美,下田麻美,765プロ,765PRO ALLSTARS,THE IDOLM@STER　
双海真美,下田麻美,765プロ,765PRO ALLSTARS,THE IDOLM@STER
菊地真,,平田宏美,765プロ,765PRO ALLSTARS,THE IDOLM@STER
我那覇響,沼倉愛美,765プロ,765PRO ALLSTARS,THE IDOLM@STER
秋月律子,若林直美,765プロ,765PRO ALLSTARS,THE IDOLM@STER
四条貴音,原由実,765プロ,765PRO ALLSTARS,THE IDOLM@STER
音無小鳥,滝田樹里,765プロ,765PRO ALLSTARS,THE IDOLM@STER
玲音,茅原実里,961プロ,,THE IDOLM@STER
詩歌,高橋李依,961プロ,,THE IDOLM@STER
日高愛,戸松遥,876プロ,,THE IDOLM@STER Dearly Stars
水谷絵理,花澤香菜,876プロ,,THE IDOLM@STER Dearly Stars
島村卯月,大橋彩香,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
渋谷凛,福原綾香,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
本田未央,原紗友里,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
双葉杏,五十嵐裕美,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
三村かな子,大坪由佳,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
高垣楓,早見沙織,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
城ヶ崎莉嘉,山本希望,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
神崎蘭子,内田真礼,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
前川みく,高森奈津美,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
諸星きらり,松嵜麗,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
城ヶ崎美嘉,佳村はるか,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
小日向美穂,津田美波,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
多田李衣菜,青木瑠璃子,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
十時愛梨,原田ひとみ,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
川島瑞樹,東山奈央,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
日野茜,赤﨑千夏,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
赤城みりあ,黒沢ともよ,346プロ,CINDERELLA GIRLS,THE IDOLM@STER CINDERELLA GIRLS
